PB,RN,Error,Pitch,E P,E C,E IF,E OF,O RP,O RN,O LP,O LN,O P,CD RP,CD RN,CD LP,CD LN,CD P,RADV 1b7,RADV 1b8,RADV 1b9,RADV 2b
CD,11,No,Yes,2,2,1,5,G4,G5A,G3,G3,GX3,P,SS,2B,C,SS,1O/2,2,2,2O
5,43,No,Yes,2,2,3,4,G5,G5A,L3,G4A,G5A,2B,CF,1B,RF,P,1O/2,2,2,2O
9,27,No,No,2,2,1,5,GX6,FD7,FD8,F4,F5,SS,3B,RF,LF,2B,1O/2,2,2,2O
7,51,No,No,3,3,3,4,FD8,G5A,FD8,F9,GX4,C,CF,CF,SS,LF,1O/2,2,2,2O
4,63,No,Yes,1,2,3,3,F9,F5,F7,G5,GX3,SS,LF,CF,CF,2B,1O/2,2,2,2O
11,14,No,Yes,1,2,3,4,GX3,L6,GX3,FD7,GX5,3B,2B,SS,3B,C,1/1,1O,1/1,2
9,17,No,No,1,3,1,4,G4,G4,G3,FD8,G3A,RF,CF,CF,CF,CF,1/1,1O,1/1,2
7,61,No,Yes,1,2,3,4,GX5,G6A,FD9,G4,GX6,RF,CF,2B,1B,C,1/1,1O,1/1,2
5,48,No,Yes,1,1,1,4,G6,G4A,F9,F9,FD8,LF,SS,1B,2B,CF,1/1,1O,1/1,2
12,63,No,Yes,3,2,1,4,L1,F9,F9,GX6,G4,P,C,3B,2B,2B,1/1,1O,1/1,2
4,76,No,Yes,2,2,3,3,GX4,F5,G3A,G6A,GX3,SS,3B,CF,SS,SS,1O/2,2,2,3
6,53,No,Yes,2,2,2,4,G6A,G4,G2A,GX6,F2,LF,3B,LF,LF,1B,1O/2,2,2,3
7,22,No,No,3,3,1,5,FD8,FD9,F4,G3A,F4,LF,3B,LF,P,3B,1O/2,2,2,3
6,31,No,Yes,2,3,1,4,G5,G4A,GX3,GX4,G5A,RF,LF,P,LF,SS,1O/2,2,2,3
8,77,No,Yes,2,2,1,4,G4A,F9,G4A,F2,G3A,CF,C,CF,LF,2B,1O/2,2,2,3
5,24,No,Yes,3,2,3,5,L5,G4,G2A,FD7,FD9,SS,LF,P,RF,P,1/1,1O,1/1,2
10,83,No,Yes,1,2,2,4,F8,G6,GX1,F4,F3,RF,CF,3B,LF,SS,1/1,1O,1/1,2
6,25,No,Yes,1,2,2,5,G6A,F7,F8,G4A,G4,SS,3B,RF,SS,CF,1/1,1O,1/1,2
8,84,No,No,2,3,3,5,G5A,G6A,F8,L4,G1A,RF,3B,1B,CF,RF,1/1,1O,1/1,2
CD,38,No,No,2,2,3,5,GX6,G6A,G6A,GX4,GX3,LF,1B,CF,1B,LF,1/1,1O,1/1,2
8,25,No,Yes,3,2,3,4,G4,F8,F8,F4,G4,RF,1B,SS,1B,3B,1O/2,2,2,2
9,13,No,Yes,2,3,3,3,GX3,F3,G4,GX6,G3,SS,LF,LF,P,SS,1O/2,2,2,2
4,16,No,No,1,1,1,4,F6,G4,L3,F8,GX1,SS,LF,1B,3B,3B,1O/2,2,2,2
3,15,No,No,2,2,2,4,G5,G5,FD8,F9,G1A,C,LF,SS,P,C,1O/2,2,2,2
8,58,No,No,1,2,3,4,GX5,FD7,G6,GX1,GX4,P,3B,CF,LF,P,1O/2,2,2,2
6,18,No,No,2,2,2,4,G5A,F9,F9,F9,GX6,3B,SS,P,LF,LF,1/1,1O,1/1,2
7,56,No,No,2,3,3,4,G4A,F7,F2,G6A,G2A,CF,SS,RF,1B,RF,1/1,1O,1/1,2
5,11,No,No,3,2,2,5,L5,G5A,G3A,GX4,F3,C,RF,RF,RF,CF,1/1,1O,1/1,2
CD,88,No,No,1,2,1,5,F7,G6,G4,G5,GX5,LF,LF,P,2B,CF,1/1,1O,1/1,2
6,34,No,Yes,1,3,3,4,G6,GX6,GX3,FD8,GX5,LF,RF,RF,RF,P,1/1,1O,1/1,2
10,72,No,Yes,3,2,2,3,G6A,GX6,FD8,G6A,G4A,2B,CF,C,LF,RF,2,2,2,3
10,62,No,No,2,2,1,5,FD7,GX5,F9,FD9,G4,SS,3B,RF,2B,P,2,2,2,3
11,46,No,Yes,1,2,1,4,FD9,G6,F5,GX4,G6,SS,C,2B,P,3B,2,2,2,3
8,71,No,Yes,2,2,3,4,F7,GX3,G3A,F8,G2A,LF,LF,3B,CF,SS,2,2,2,3
5,51,No,No,2,2,2,5,GX6,F8,G5,G3,G4,CF,RF,SS,RF,P,2,2,2,3
8,85,No,No,1,3,3,5,FD7,G1A,G6A,G3,G6A,2B,RF,C,3B,SS,1/1,1O,1/1,2
5,47,No,No,1,2,3,4,G6,F7,G3A,F9,G4A,P,CF,C,CF,CF,1/1,1O,1/1,2
9,44,No,No,2,3,2,5,GX5,F9,L4,F7,FD9,3B,CF,2B,RF,CF,1/1,1O,1/1,2
7,56,No,Yes,2,1,3,4,FD9,GX6,FD8,G4,G6,CF,1B,1B,1B,3B,1/1,1O,1/1,2
7,51,No,Yes,1,2,3,4,G5A,F7,G3A,GX6,G6A,LF,CF,C,2B,C,1/1,1O,1/1,2
CD,58,No,No,1,3,3,3,GX5,L6,L4,G3,GX1,CF,1B,CF,1B,RF,2,2,2,3
7,17,No,No,1,2,3,5,G5,L1,FD7,G2A,G4,LF,SS,LF,C,1B,2,2,2,3
5,36,No,No,1,1,3,4,L1,G4A,L3,F7,G4,LF,P,P,2B,1B,2,2,2,3
10,87,No,No,2,3,1,4,F6,GX4,G3A,G5A,G3,C,SS,LF,CF,SS,2,2,2,3
7,88,No,No,2,3,1,4,FD7,G4A,FD9,F9,G4A,SS,1B,LF,2B,C,2,2,2,3
9,65,No,No,3,2,2,5,GX1,FD8,F8,GX4,G6,3B,LF,1B,LF,RF,1/1,1O,1/1,2
5,81,No,Yes,3,1,1,5,G5A,G3,G4,GX4,GX6,SS,C,RF,SS,3B,1/1,1O,1/1,2
5,82,No,No,1,2,2,5,GX1,GX5,GX3,GX4,F2,RF,1B,LF,CF,1B,1/1,1O,1/1,2
8,38,No,No,1,2,1,5,GX5,FD7,G4A,G4,G3A,C,C,CF,SS,P,1/1,1O,1/1,2
6,41,No,Yes,2,3,3,4,F3,GX4,GX4,G6A,F2,CF,3B,CF,3B,CF,1/1,1O,1/1,2
10,58,No,No,3,2,3,5,F9,FD7,G3,G6A,G5,CF,P,CF,CF,1B,2,2,2,3
BD,63,No,No,2,3,2,3,G3A,G4,FD8,GX3,F8,LF,LF,LF,2B,LF,2,2,2,3
8,73,No,No,3,2,3,3,G5A,F2,FD9,F8,G4A,SS,LF,2B,C,1B,2,2,2,3
10,67,No,No,2,3,2,4,FD8,F7,F3,G5A,G4,3B,SS,2B,C,C,2,2,2,3
9,75,No,No,3,3,3,4,FD9,FD9,G4A,FD9,G6,LF,P,CF,SS,SS,2,2,2,3
6,53,No,No,1,2,3,4,G6,F6,G3A,F7,F2,2B,P,C,2B,RF,1/1,1O,1/1,2
11,23,No,Yes,1,2,1,4,F7,F9,GX3,G2A,G3,LF,CF,CF,3B,SS,1/1,1O,1/1,2
5,35,No,Yes,1,2,3,4,F3,F7,G4,G3A,G6,LF,2B,2B,2B,CF,1/1,1O,1/1,2
7,78,No,Yes,1,1,2,5,G5A,G3A,G3,G5,G2A,RF,CF,P,CF,LF,1/1,1O,1/1,2
CD,16,No,Yes,3,2,2,3,G6A,G3,G4,F4,G4,RF,2B,CF,RF,LF,1/1,1O,1/1,2
11,22,No,No,2,2,3,3,F9,G6,FD9,G5,G3,1B,CF,SS,LF,SS,2,2,2,3
11,86,No,Yes,3,1,1,4,L6,F9,G4,G1A,FD9,SS,CF,1B,LF,RF,2,2,2,3
7,24,No,No,2,2,2,4,G5A,G3A,G6,GX4,FD9,P,RF,C,LF,CF,2,2,2,3
7,48,No,No,1,2,2,4,FD7,L6,G6,G6,G5A,CF,RF,LF,2B,P,2,2,2,3
10,62,No,No,3,3,3,3,G5A,F9,F9,GX4,G4A,RF,CF,LF,2B,CF,2,2,2,3
6,18,No,No,2,3,1,4,F7,G4A,F7,G3,GX4,3B,LF,2B,3B,3B,1O,1O,1O,2
7,45,No,Yes,3,2,1,5,GX1,G5A,G3A,G3,G1A,2B,SS,LF,LF,3B,1O,1O,1O,2
8,58,No,No,3,2,1,3,F8,G6,FD9,G5,FD7,1B,C,RF,LF,LF,1O,1O,1O,2
6,65,No,No,2,2,3,4,FD7,G6A,G6,L3,GX6,CF,CF,CF,CF,2B,1O,1O,1O,2
9,36,No,No,1,2,2,5,L6,FD8,F9,FD7,G4,LF,SS,LF,LF,1B,1O,1O,1O,2
7,22,No,No,2,1,1,4,G5,F9,FD8,L3,G5,RF,LF,LF,SS,LF,2,2,2,3
9,13,No,No,3,3,2,4,GX4,G5,G6A,G6A,F7,LF,3B,1B,RF,CF,2,2,2,3
11,86,No,No,3,2,2,4,G5A,FD8,GX1,G3A,G4A,LF,3B,2B,RF,C,2,2,2,3
9,54,No,Yes,1,3,2,5,F5,F6,GX4,G6,GX4,LF,SS,CF,P,LF,2,2,2,3
9,52,No,No,1,3,2,4,G3A,F6,FD7,F6,L5,CF,RF,1B,CF,2B,2,2,2,3
12,17,No,No,1,2,3,4,FD8,F9,F5,GX6,G6,3B,LF,CF,CF,P,1O,1O,1O,2
5,78,No,No,1,2,1,4,F8,GX4,F4,F5,F7,C,SS,RF,P,RF,1O,1O,1O,2
6,58,No,No,2,3,3,4,FD8,FD8,F9,G4,L4,CF,C,2B,RF,RF,1O,1O,1O,2
4,31,No,Yes,3,3,2,5,F8,G4,G5,F7,G5,CF,1B,P,SS,RF,1O,1O,1O,2
3,18,No,No,3,2,2,4,G1A,G6,F7,G6A,GX5,CF,CF,RF,SS,C,1O,1O,1O,2
7,66,No,No,2,1,3,4,G6,L6,FD8,L1,G5A,CF,3B,LF,SS,2B,2,2,2,3
5,75,No,No,1,2,1,4,F7,GX6,FD7,G4,G1A,C,CF,1B,RF,C,2,2,2,3
7,31,No,No,3,2,2,4,FD7,G5A,GX3,L3,G2A,SS,P,P,P,C,2,2,2,3
5,63,No,No,2,1,1,4,FD8,L4,GX6,G5,G4,CF,1B,RF,SS,LF,2,2,2,3
8,85,No,No,3,2,1,4,F9,GX1,L4,G4,G2A,CF,CF,CF,LF,3B,2,2,2,3
4,28,No,No,2,2,1,5,G5A,G3,F4,F9,G6,C,2B,P,2B,SS,1O,1O,1O,2
4,38,No,Yes,2,3,3,3,F3,FD8,FD9,F8,G4A,CF,P,CF,2B,LF,1O,1O,1O,2
12,26,No,No,2,2,2,4,F8,F9,G6,F6,G5A,CF,SS,RF,SS,CF,1O,1O,1O,2
3,25,No,No,3,3,1,5,FD9,F7,L4,F7,G5,P,SS,1B,RF,RF,1O,1O,1O,2
CD,42,No,No,3,2,2,4,G6A,F3,F8,F7,G3,CF,CF,SS,LF,LF,1O,1O,1O,2
9,61,No,No,3,2,3,5,FD8,G4A,FD8,G6,G4,3B,1B,CF,SS,CF,2,2,2,3
6,27,No,No,2,2,3,5,F9,F8,FD9,L4,G4,2B,3B,1B,LF,C,2,2,2,3
6,74,No,No,2,2,3,5,L4,F6,FD8,FD9,F9,RF,LF,SS,2B,2B,2,2,2,3
7,22,No,Yes,2,2,3,5,L5,F7,G6,G6A,L6,CF,LF,LF,P,LF,2,2,2,3
8,63,No,Yes,3,2,1,4,F7,G6,GX4,F7,GX3,CF,RF,2B,LF,SS,2,2,2,3
7,15,No,Yes,2,3,3,5,G6,L6,F7,F8,F7,P,3B,C,LF,2B,1O,1O,1O,2
5,16,No,Yes,1,3,2,4,F7,FD7,GX6,L1,G5,2B,1B,CF,SS,C,1O,1O,1O,2
9,68,No,No,3,2,3,4,G4A,F7,GX4,G3,G4,1B,RF,SS,SS,RF,1O,1O,1O,2
12,45,No,No,2,2,1,4,FD9,F3,G6,G5,F7,C,1B,SS,RF,P,1O,1O,1O,2
4,61,No,No,2,2,3,4,GX6,F8,F7,FD8,G5A,P,LF,RF,RF,C,1O,1O,1O,2
7,52,No,Yes,1,2,2,3,G3A,G1A,F2,GX1,GX1,RF,1B,CF,CF,2B,2,2,2,3
9,64,No,No,3,1,1,4,F6,F7,F9,F6,F2,SS,CF,1B,P,LF,2,2,2,3
8,27,No,Yes,1,2,1,4,FD7,G4,L3,G5A,L3,SS,CF,C,1B,LF,2,2,2,3
10,81,No,No,1,1,1,4,FD8,F7,G3,F9,F7,CF,C,LF,CF,2B,2,2,2,3
9,32,No,Yes,1,2,1,4,F8,L4,G6A,G4,L4,2B,RF,LF,1B,C,2,2,2,3
7,76,No,Yes,1,3,3,3,F8,F7,FD7,F9,F4,2B,3B,RF,1B,C,1O,1O,1O,2
10,32,No,Yes,2,1,1,3,GX4,L1,FD9,G3A,L3,CF,LF,CF,CF,CF,1O,1O,1O,2
9,42,No,No,3,3,3,5,FD7,G6A,G4,G6,GX5,CF,SS,2B,CF,2B,1O,1O,1O,2
7,53,No,No,1,1,1,5,G5A,GX3,F8,F2,F8,CF,1B,2B,LF,SS,1O,1O,1O,2
6,41,No,No,2,3,1,5,GX5,G5,FD9,L4,G6A,LF,SS,1B,C,1B,1O,1O,1O,2
7,21,No,Yes,1,3,1,3,F8,F8,GX5,F5,GX3,P,LF,CF,C,P,1O,1O,1O,2O
7,84,No,No,2,1,1,5,G5,F9,F9,G6A,L4,C,2B,SS,LF,CF,1O,1O,1O,2O
6,72,No,Yes,3,1,3,3,F2,F9,L4,F9,F9,SS,SS,LF,CF,SS,1O,1O,1O,2O
7,65,No,No,1,2,1,5,F7,F7,F8,G4,L6,RF,3B,CF,C,1B,1O,1O,1O,2O
6,76,No,Yes,1,1,1,3,F5,G3A,G1A,G4,F2,3B,RF,2B,RF,1B,1O,1O,1O,2O
11,14,No,No,1,1,1,3,FD8,L1,F3,F6,L5,RF,2B,CF,3B,SS,1O,1O,1O,2
9,44,No,Yes,1,2,3,5,G5,FD9,F3,L4,G3,3B,CF,LF,C,RF,1O,1O,1O,2
11,16,No,Yes,3,2,3,4,F8,G6,F4,G5A,G3,LF,3B,2B,2B,SS,1O,1O,1O,2
4,42,No,Yes,1,2,3,4,GX5,L1,G3A,F5,GX3,CF,1B,LF,SS,2B,1O,1O,1O,2
10,36,No,Yes,1,3,3,4,F6,FD8,G1A,G2A,GX1,LF,SS,P,3B,LF,1O,1O,1O,2
4,16,No,Yes,1,3,1,5,G6,L4,L1,GX4,G5A,SS,CF,P,CF,SS,1O,1O,1O,2O
Z,64,No,Yes,1,3,2,3,G4A,FD7,GX6,L1,G2A,SS,1B,SS,LF,LF,1O,1O,1O,2O
5,21,No,Yes,1,2,3,5,G6,L6,GX5,F3,F5,2B,C,RF,RF,LF,1O,1O,1O,2O
Z,83,No,No,3,1,2,4,L4,GX5,F9,G6A,G6,CF,SS,LF,C,SS,1O,1O,1O,2O
BD,55,No,No,1,2,3,4,G2A,F9,FD9,FD9,G3A,CF,P,LF,2B,CF,1O,1O,1O,2O
11,15,No,Yes,1,2,3,3,G4,FD7,G5A,F4,G3,P,2B,RF,CF,SS,1O,1O,1O,2
8,23,No,Yes,1,1,1,4,GX6,L5,G4,L4,L4,RF,LF,CF,CF,RF,1O,1O,1O,2
5,46,No,No,3,3,3,5,GX4,FD8,L3,F9,F6,RF,2B,C,CF,SS,1O,1O,1O,2
3,67,No,No,2,2,3,5,F6,L5,L3,F7,G6A,CF,CF,1B,2B,RF,1O,1O,1O,2
9,53,No,Yes,3,2,3,4,G5,F5,G3,G1A,G1A,C,3B,LF,SS,P,1O,1O,1O,2
6,87,No,Yes,2,2,1,4,G1A,G6A,F7,G6A,GX4,CF,2B,2B,SS,LF,1O,1O,1O,2O
3,66,No,No,3,3,1,3,F8,G4,FD9,G3A,G3A,LF,LF,1B,LF,LF,1O,1O,1O,2O
6,47,No,Yes,1,2,2,4,GX5,G6A,F2,FD9,GX3,P,SS,C,2B,LF,1O,1O,1O,2O
4,56,No,Yes,1,2,1,4,F7,GX5,G6A,G5A,F8,CF,SS,RF,3B,RF,1O,1O,1O,2O
7,43,No,No,1,2,1,5,G6A,F6,L1,F9,G5,LF,C,CF,2B,RF,1O,1O,1O,2O
10,12,No,Yes,2,2,2,4,GX1,G5A,F4,F4,F4,3B,3B,CF,1B,SS,1O,2,1O,2
7,45,No,No,3,2,3,4,G5A,F6,G3,GX4,GX6,LF,P,2B,CF,P,1O,2,1O,2
6,81,No,No,1,2,3,4,G6A,G3,FD9,F8,G3A,C,CF,2B,RF,P,1O,2,1O,2
Z,41,No,Yes,2,2,2,4,L6,G5,F2,F2,F9,SS,CF,1B,LF,LF,1O,2,1O,2
7,38,No,No,2,3,3,4,F7,G5A,G4,G4,G3,LF,2B,1B,3B,RF,1O,2,1O,2
5,11,No,Yes,2,2,2,5,G4,GX4,FD8,G4A,G3,CF,1B,LF,RF,P,1O,1O,1O,2O
8,76,No,No,2,3,2,4,F8,F7,F9,L1,G6,RF,2B,RF,SS,SS,1O,1O,1O,2O
7,67,No,Yes,1,3,2,4,F6,G6,GX1,G3A,F7,LF,2B,2B,1B,CF,1O,1O,1O,2O
3,21,No,Yes,1,3,1,5,G2A,F7,G6A,G3A,G4A,CF,P,RF,P,P,1O,1O,1O,2O
7,16,No,No,2,2,2,4,F7,G5,F3,FD7,G5,SS,RF,SS,LF,LF,1O,1O,1O,2O
6,46,No,Yes,2,2,2,4,G5,G5,GX4,G1A,L1,3B,3B,RF,LF,2B,1O,2,1O,2O
8,88,No,Yes,1,2,3,4,F7,F2,F8,F3,F9,CF,SS,LF,CF,RF,1O,2,1O,2O
6,32,No,No,1,2,2,5,L5,F8,FD7,L1,G5,SS,1B,2B,RF,2B,1O,2,1O,2O
BD,88,No,Yes,2,2,3,4,G6,L1,F7,F7,G5,SS,1B,2B,CF,C,1O,2,1O,2O
CD,77,No,No,3,2,3,5,G5,F7,G4,F7,G4A,SS,CF,CF,LF,SS,1O,2,1O,2O
8,37,No,No,2,3,3,5,F6,F8,F4,F4,G5,RF,CF,2B,LF,2B,CHAL,CHAL,CHAL,CHAL
8,23,No,Yes,1,1,3,4,FD7,G3,GX4,G4,G6,SS,SS,3B,C,LF,CHAL,CHAL,CHAL,CHAL
10,36,No,No,2,2,3,5,FD9,F9,L4,GX3,F2,RF,SS,2B,3B,RF,CHAL,CHAL,CHAL,CHAL
7,26,No,Yes,2,2,3,4,G1A,G5,G4,F7,L5,3B,SS,SS,LF,SS,CHAL,CHAL,CHAL,CHAL
2,73,No,Yes,1,2,3,4,G4,GX4,G4,F9,G4A,RF,CF,CF,SS,P,CHAL,CHAL,CHAL,CHAL
4,17,No,No,3,2,1,4,F7,F8,FD9,FD9,G5,P,2B,RF,LF,C,1O,2,1O,2O
5,44,No,No,3,3,3,4,F5,L5,G3A,GX4,GX1,LF,SS,2B,C,SS,1O,2,1O,2O
6,74,No,No,1,3,1,3,L6,FD7,G4,FD9,G6,CF,CF,C,RF,C,1O,2,1O,2O
9,68,No,No,1,2,3,3,FD8,F8,G3A,FD9,G4A,CF,C,1B,C,SS,1O,2,1O,2O
7,84,No,Yes,3,3,2,4,FD7,G4,F7,G6,G2A,3B,C,LF,LF,LF,1O,2,1O,2O
9,35,No,Yes,2,2,1,3,F7,F7,F8,G6,G4A,CF,3B,P,RF,P,CHAL,CHAL,CHAL,CHAL
6,71,No,No,1,2,3,4,L6,F6,G6,G4,G6,RF,3B,RF,RF,3B,CHAL,CHAL,CHAL,CHAL
4,13,No,No,1,3,3,3,G5,G6,G6A,F9,FD7,LF,SS,2B,LF,SS,CHAL,CHAL,CHAL,CHAL
4,74,No,No,1,1,3,4,GX5,G1A,G3A,G3,G3A,CF,P,CF,RF,3B,CHAL,CHAL,CHAL,CHAL
8,81,No,No,1,2,3,4,G6,G6,G4A,G4,G6A,CF,RF,CF,CF,RF,CHAL,CHAL,CHAL,CHAL
10,35,10-20,No,3,2,1,4,F8,F9,GX3,F9,G3,P,2B,CF,SS,RF,1O,2,1O,2O
11,71,10-20,Yes,3,2,3,5,G6A,GX6,G4A,FD9,GX3,SS,LF,P,P,C,1O,2,1O,2O
BD,-,3-20,Yes,3,3,1,3,FD7,F7,FD9,F9,F2,C,C,C,C,C,1O,2,1O,2O
BD,-,2-20,Yes,3,3,1,3,FD7,F7,FD9,F9,F2,C,C,C,C,C,1O,2,1O,2O
BD,-,1-20,Yes,3,3,1,3,FD7,F7,FD9,F9,F2,C,C,C,C,C,1O,2,1O,2O
11,84,No,No,2,1,1,5,GX4,G6A,F7,G6,G1A,2B,LF,P,3B,1B,CHAL,CHAL,CHAL,CHAL
4,24,No,No,1,2,3,4,G6,F8,G4,F8,FD8,3B,3B,SS,2B,SS,CHAL,CHAL,CHAL,CHAL
7,-,4-20,Yes,1,3,3,4,G5,G6,G3,G4,G1,C,C,C,C,C,CHAL,CHAL,CHAL,CHAL
7,-,5-20,Yes,1,3,3,4,G5,G6,G3,G4,G1,C,C,C,C,C,CHAL,CHAL,CHAL,CHAL
7,-,6-20,Yes,1,3,3,4,G5,G6,G3,G4,G1,C,C,C,C,C,CHAL,CHAL,CHAL,CHAL
BD,-,11-20,Yes,3,3,1,3,FD7,F7,FD9,F9,F2,C,C,C,C,C,1O,2,1O,2O
BD,-,10-20,Yes,3,3,1,3,FD7,F7,FD9,F9,F2,C,C,C,C,C,1O,2,1O,2O
BD,-,9-20,Yes,3,3,1,3,FD7,F7,FD9,F9,F2,C,C,C,C,C,1O,2,1O,2O
BD,-,8-20,Yes,3,3,1,3,FD7,F7,FD9,F9,F2,C,C,C,C,C,1O,2,1O,2O
BD,-,7-20,Yes,3,3,1,3,FD7,F7,FD9,F9,F2,C,C,C,C,C,1O,2,1O,2O
8,-,12-20,Yes,1,3,3,4,G5,G6,G3,G4,G1,C,C,C,C,C,CHAL,CHAL,CHAL,CHAL
8,-,13-20,Yes,1,3,3,4,G5,G6,G3,G4,G1,C,C,C,C,C,CHAL,CHAL,CHAL,CHAL
8,-,14-20,Yes,1,3,3,4,G5,G6,G3,G4,G1,C,C,C,C,C,CHAL,CHAL,CHAL,CHAL
8,-,15-20,Yes,1,3,3,4,G5,G6,G3,G4,G1,C,C,C,C,C,CHAL,CHAL,CHAL,CHAL
9,-,16-20,Yes,1,3,3,4,G5,G6,G3,G4,G1,C,C,C,C,C,CHAL,CHAL,CHAL,CHAL
