PB,Random,CD,Pitch,Error,E-P,E-C,E-1B,E-2B,E-3B,E-SS,E-OF,P,LN,LP,SN,SP,RN,RP
5,88,LF,No,None,3,3,3,3,3,3,4,G6*,F2,F2,Gx6*,Gx4*,F2,F2
7,63,3B,Yes,None,1,1,1,3,3,3,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
9,57,2B,No,None,1,1,1,2,2,2,4,L5*,L3,L3*,L5,G6*,L5,G6*
5,65,SS,Yes,None,1,1,1,2,2,2,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
5,57,LF,No,None,1,1,1,3,3,3,4,L5*,L3,L3*,G6*,L5,L5,L5*
5,83,3B,Yes,None,3,3,3,3,3,3,4,G6*,G6*,G6*,G6*,G6*,G6*,G6*
10,17,SS,Yes,None,3,3,1,1,1,1,4,G5*,L4,L4,L5,G5*,L6,L5
7,24,CF,No,None,3,3,1,1,1,1,4,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*
6,81,SS,Yes,None,3,3,3,3,3,3,5,G1*,G4*,G4A*,F6,Gx6*,Gx6*,G6*
8,85,3B,No,None,3,3,3,3,3,3,5,G6*,G6*,G6*,G6*,G6*,G6*,G6*
8,85,2B,Yes,None,3,3,3,3,3,3,5,F4,G4*,FD8,F8,FD8,F8,FD8
11,77,2B,Yes,None,1,1,1,2,2,2,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
6,24,3B,Yes,None,3,3,1,1,1,1,4,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*
8,11,LF,Yes,None,3,3,1,1,1,1,4,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*
CD,18,3B,Yes,None,3,3,1,1,1,1,4,F4,G4*,FD8*,F8,FD8,F8,FD8
7,28,SS,Yes,None,3,3,1,1,1,1,4,Gx2,Gx2,Gx2,Gx2,Gx2,Gx2,Gx2
5,48,2B,Yes,None,1,1,1,2,2,2,4,F2,G6*,G6*,F1,G6A*,G6A*,G6*
9,42,LF,No,None,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
7,68,SS,No,None,1,1,1,2,2,2,5,L6,G6*,G6*,Gx4*,Gx4*,G6*,L5
5,81,1B,No,None,3,3,3,3,3,3,5,G5*,G5*,G5*,G5*,G5*,G5*,G5*
4,56,LF,Yes,None,1,1,1,2,2,2,4,G3*,G3A*,Gx6*,L1,L1,G4A*,L1
10,24,SS,No,None,3,3,1,1,1,1,4,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*
6,37,SS,Yes,None,3,3,1,1,1,1,4,F7,FD9,FD9*,G3*,G6*,FD7,FD7*
10,33,3B,No,None,1,1,1,2,2,2,4,F3,F3,F3,F3,F3,F3,F3
5,68,2B,No,None,1,1,1,2,2,2,4,L6,G6*,G6*,Gx4*,Gx4*,G6*,L5
6,41,CF,Yes,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
11,76,2B,No,None,1,1,1,2,2,2,4,F4,F2,F2,G6A*,G3*,F2,F2
9,26,CF,No,None,1,1,1,2,2,2,4,Gx2*,Gx2*,Gx2*,Gx2*,Gx2*,Gx2*,Gx2*
4,66,SS,Yes,None,1,1,1,2,2,2,4,G6*,G3*,G3*,F6,F6,G5*,F4
7,35,P,No,None,3,3,1,1,1,1,4,F5,F5,F5,F5,F5,F5,F5
10,12,LF,Yes,None,3,3,1,1,1,1,4,Gx1*,G4A*,F4,F5,F5,F6,F6*
5,61,2B,No,None,1,1,1,2,2,2,4,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*,Gx5*
7,47,CF,Yes,None,1,1,1,2,2,2,4,G6*,L4,L4,L5,G6*,L6,L6
10,83,LF,No,None,3,3,1,1,1,1,4,F5,F5,F5,F5,F5,F5,F5
3,51,RF,Yes,7-10,1,1,1,2,2,2,4,G4A*,G1A*,Gx1*,G1A*,Gx1*,Gx1*,G1A*
9,41,SS,Yes,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
9,35,CF,Yes,None,3,3,1,1,1,1,4,Gx1*,G4A*,F4*,F5,F5,F6,F6*
6,18,CF,No,None,3,3,1,1,1,1,4,G2*,G2*,G2*,G2*,G2*,G2*,G2*
11,68,1B,Yes,None,1,1,1,2,2,2,4,G1*,G4*,G4A*,F6,Gx6*,Gx6*,G5*
9,38,P,No,None,3,3,1,1,1,1,5,F2,F2,F2,F2,F2,F2,F2
5,53,3B,Yes,None,1,1,1,2,2,2,4,F8,L5,L5,G5*,L4,L3,G6*
6,26,1B,No,6-10,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
11,75,SS,Yes,None,1,1,1,2,2,2,4,Gx3*,G1*,Gx1*,G6*,G1*,Gx1*,Gx1*
2,22,LF,No,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
7,25,3B,No,None,3,3,1,1,1,1,4,G6*,F6,G3*,F6,F6,G5*,F4
9,37,LF,No,6-10,3,3,1,1,1,1,4,F6,F6,F6,F6,F6,F6,F6
6,63,2B,No,None,1,1,1,2,2,2,4,F3*,Gx6*,Gx6*,FD8,FD8,Gx3*,Gx3*
BD,41,1B,Yes,None,1,1,1,2,2,2,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
4,67,2B,No,7-10,1,1,1,2,2,2,4,F8,L5,L5,G5*,L4,L3,G6*
3,83,SS,No,None,3,3,3,3,3,3,5,F9,F9,F9,F9,F9,F9,F9
4,74,RF,Yes,None,1,1,1,2,2,2,4,F7,FD9,FD9,G3*,G5*,FD7,FD7*
BD,35,3B,No,None,3,3,1,1,1,1,4,F5,F5,F5,F5,F5,F5,F5
4,75,3B,No,None,3,3,1,1,1,1,4,Gx3*,G1*,Gx1*,G6*,G1*,Gx1*,Gx1*
7,17,RF,Yes,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
6,61,P,Yes,None,1,1,1,2,2,2,4,G6A*,G4*,G3*,F8,FD8,G1*,F8
BD,38,C,No,None,3,3,1,1,1,1,4,F9,F9,F9,F9,F9,F9,F9
8,74,SS,No,None,1,1,1,2,2,2,4,F7,FD9,FD9*,G3*,G5*,F7,FD7*
7,15,RF,No,4-10,3,3,1,1,1,1,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
10,87,SS,No,None,3,3,3,3,3,3,5,G5*,G6A*,G5A*,G6A*,Gx6*,G1*,G6*
8,86,3B,No,5-10,3,3,3,3,3,3,5,G6*,G6*,G6*,G6*,G6*,G6*,G6*
7,64,P,Yes,None,1,1,1,2,2,2,4,F4,G6A*,G6*,G6*,G6*,F3,G4A*
7,42,2B,No,None,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
7,26,1B,No,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
9,12,1B,No,None,3,3,1,1,1,1,4,F5,F5,F5,F5,F5,F5,F5
5,46,3B,No,None,3,3,3,3,3,3,4,G6*,G6*,G6*,G6*,G6*,G6*,G6*
7,33,CF,Yes,None,3,3,1,1,1,1,4,F3,F3,F3,F3,F3,F3,F3
8,34,LF,No,1-10,3,3,1,1,1,1,4,G6*,F3*,F3,F3,G3*,F5*,F5
3,41,C,No,None,1,1,1,2,2,2,4,F8,F8,F8,F8,F8,F8,F8
11,73,CF,Yes,None,1,1,1,2,2,2,4,F5,Gx4*,Gx4*,Gx4*,G4*,Gx6*,F6
6,27,SS,Yes,None,3,3,1,1,1,1,4,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*
6,73,3B,No,None,1,1,1,2,2,2,4,G3*,F8,G4*,F9,F8,F8,F7
8,63,SS,No,None,1,1,1,2,2,2,4,G4*,G4*,G4*,G4*,G4*,G4*,G4*
3,57,2B,No,None,1,1,1,2,2,2,4,L5*,L3,L3*,L5,G6*,L5,L5*
9,27,SS,No,None,3,3,,,,,4,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*
6,23,2B,Yes,None,3,3,1,1,1,1,4,G6A*,G4*,G3*,F8,FD8,G1*,F8
3,46,CF,No,None,1,1,1,2,2,2,4,F4,F4,F4,F4,F4,F4,F4
8,66,3B,No,None,1,1,1,2,2,2,4,G3*,L1*,Gx6*,L1,L1,G4A*,L1
5,75,3B,No,None,1,1,1,2,2,2,4,G6*,G6*,G6*,G6*,G6*,G6*,G6*
6,15,SS,No,None,3,3,1,1,1,1,4,G1A*,F9,F9,G5*,G1*,F7,G5*
8,72,2B,Yes,6-10,1,1,1,2,2,2,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
8,82,CF,No,9-10,3,3,3,3,3,3,5,G2*,G3A*,G4A*,Gx6*,G3A*,G4A*,Gx1*
9,84,CF,No,None,3,3,3,3,3,3,5,G4*,G4*,G4*,G4*,G4*,G4*,G4*
9,54,SS,Yes,4-10,1,1,1,2,2,2,4,Gx6*,Gx4*,G4A*,G5*,G5A*,G5*,G5*
3,45,SS,Yes,None,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
3,56,2B,Yes,None,1,1,1,2,2,2,4,F3*,Gx6*,G5A*,FD8,FD8,Gx6*,Gx3*
8,48,RF,Yes,None,1,1,1,,,,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
7,67,1B,Yes,None,1,1,1,2,2,2,4,F8,L5,L5,G5*,L4,L3,G6*
3,71,CF,Yes,None,1,1,1,2,2,2,4,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*,G6A*
CD,87,RF,No,None,3,3,3,3,3,3,5,G6*,Gx1*,F7,F9,G4*,F2,F9
6,62,3B,Yes,None,1,1,1,2,2,2,5,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*,Gx4*
9,48,3B,Yes,None,1,1,1,2,2,2,4,F2,G1*,G6*,F1,G6A*,G6A*,G6*
5,44,P,Yes,None,1,1,1,2,2,2,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
6,82,SS,Yes,None,3,3,3,3,3,3,5,G3*,L1*,Gx6*,L1,L1,G4A*,L1
4,58,3B,No,None,1,1,1,2,2,2,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
5,72,SS,Yes,None,1,1,1,2,2,2,4,G1A*,F9,F9,G5*,G1*,F7,G5*
4,81,C,Yes,None,3,3,3,3,3,3,4,F8,F8,F8,F8,F8,F8,F8
11,32,CF,No,None,3,3,1,1,1,1,4,G1A*,F9,F9,G1*,G1*,F7,G5*
11,13,CF,No,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
10,36,C,Yes,None,3,3,1,1,1,1,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
4,51,CF,Yes,None,1,1,1,2,2,2,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
9,32,RF,No,None,3,3,1,1,1,1,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
7,36,LF,Yes,None,3,3,1,1,1,1,4,F4,G6A*,G6*,G5*,G6*,G4A*,G4A*
5,86,SS,Yes,None,3,3,3,3,3,3,5,G4*,G4*,G4*,G4*,G4*,G4*,G4*
8,11,SS,No,None,3,3,1,1,1,1,4,G4A*,G1A*,Gx1*,G1A*,Gx1*,FD7,Gx1*
7,45,CF,No,3-10,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
CD,55,SS,No,None,1,1,1,2,2,2,4,F2*,FD9,FD9,F7,FD7,FD7,FD7
CD,13,RF,Yes,None,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
6,22,P,Yes,None,3,3,1,1,1,1,4,G4A*,F9,G4*,F9,G4*,F7,G4A*
CD,12,2B,No,None,3,3,1,1,1,1,4,G3*,G3*,G3*,G3*,G3*,G3*,G3*
8,88,SS,No,2-10,3,3,3,3,3,3,5,G4A*,Gx1*,F7,G4*,F9,G5*,F8
10,42,SS,No,1-10,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
Z,46,3B,No,None,1,1,1,2,2,2,4,F9,F9,F9,F9,F9,F9,F9
6,25,SS,Yes,None,3,3,1,1,1,1,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
11,65,3B,No,None,1,1,1,2,2,2,4,G5*,G5*,F5,F5,F5,F5*,F3
BD,83,SS,No,None,3,3,1,1,1,1,4,F4,F4,F4,F4,F4,F4,F4
9,44,LF,No,None,1,1,1,2,2,2,4,F5,Gx4*,Gx4*,Gx4*,G4*,Gx6*,F6
12,24,3B,No,None,3,3,1,1,1,1,4,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*,G3A*
4,53,3B,No,None,1,1,1,2,2,2,4,F5,Gx4*,Gx4*,Gx4*,G4*,Gx6*,F6
5,45,RF,No,None,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
11,61,CF,No,None,1,1,1,2,2,2,4,G6A*,G4*,G3*,F8,FD8,G1*,F8
9,15,2B,No,None,3,3,1,1,1,1,4,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*,Gx6*
7,65,CF,Yes,None,1,1,1,2,2,2,4,G5*,G6*,F5,F5,F5,F3,F3
BD,28,3B,No,1-10,3,3,1,1,1,1,4,G5*,G5*,G5*,G5*,G5*,G5*,G5*
7,82,SS,Yes,None,1,1,1,2,2,2,4,Gx3*,G1*,Gx1*,G6*,G1*,Gx1*,F7
10,25,2B,No,None,3,3,1,1,1,1,4,G1*,G1*,G1*,G1*,G1*,G1*,G1*
5,87,CF,No,None,3,3,3,3,3,3,5,Gx6*,Gx4*,G4A*,G5*,G5A*,G6*,L5
11,67,3B,No,None,3,3,1,1,1,1,4,F8,F8,F8,F8,F8,F8,F8
11,64,3B,Yes,None,1,1,1,2,2,2,4,F4,F2,F2,G6A*,G3*,F2,F2
8,53,3B,No,None,1,1,1,2,2,2,4,F6,F6,F6,F6,F6,F6,F6
8,83,P,No,2-10,3,3,3,3,3,3,5,G3*,F8,G4*,F9,F8,F8,F7
8,76,1B,Yes,5-10,1,1,1,2,2,2,4,F7,F7,F7,F7,F7,F7,F7
